taxon	dataset	method	concat_col	sample_ID	mean_depth_ind	source
rana	ddrad	ipyrad	rana_ddrad_ipyrad	Rbla_D2864	21.060759	vcf
rana	ddrad	ipyrad	rana_ddrad_ipyrad	Rbla_D2865	15.983269	vcf
rana	ddrad	ipyrad	rana_ddrad_ipyrad	Rchi_T2034a	7.725753	vcf
rana	ddrad	ipyrad	rana_ddrad_ipyrad	Rchi_T2034b	9.655248	vcf
rana	ddrad	ipyrad	rana_ddrad_ipyrad	Rchi_T2049	7.635511	vcf
rana	ddrad	ipyrad	rana_ddrad_ipyrad	Rneo_T480	23.036908	vcf
rana	ddrad	ipyrad	rana_ddrad_ipyrad	Rneo_T527	25.083262	vcf
rana	ddrad	ipyrad	rana_ddrad_ipyrad	Rsph_T25870	20.399616	vcf
rana	ddrad	ipyrad	rana_ddrad_ipyrad	Rsph_T26064	19.702114	vcf
rana	2brad	matz	rana_2brad_matz	Rneo_T480	13.057617	vcf_varsites
rana	2brad	matz	rana_2brad_matz	Rbla_D2865	7.021878	vcf_varsites
rana	2brad	matz	rana_2brad_matz	Rneo_T527	18.030739	vcf_varsites
rana	2brad	matz	rana_2brad_matz	Rber_T1113a	12.305223	vcf_varsites
rana	2brad	matz	rana_2brad_matz	Rchi_T2034b	5.262599	vcf_varsites
rana	2brad	matz	rana_2brad_matz	Rsph_T26064	17.411891	vcf_varsites
rana	2brad	matz	rana_2brad_matz	Rchi_T2034a	3.8638	vcf_varsites
rana	2brad	matz	rana_2brad_matz	Rber_T1113b	17.460811	vcf_varsites
rana	2brad	matz	rana_2brad_matz	Rbla_D2864	7.424565	vcf_varsites
rana	2brad	matz	rana_2brad_matz	Rsph_T25870	7.019183	vcf_varsites
rana	2brad	matz	rana_2brad_matz	Rber_T1114	9.368231	vcf_varsites
rana	2brad	matz	rana_2brad_matz	Rchi_T2049	3.285725	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rber_T1113a	40.45768	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rber_T1113b	29.90655	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rber_T1114	17.18509	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rbla_D2864	23.67459	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rbla_D2865	18.55452	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rchi_T2034a	23.45238	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rchi_T2034b	28.15624	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rchi_T2049	22.95057	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rneo_T480	44.42384	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rneo_T527	42.69495	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rsph_T25870	43.22592	vcf_varsites
rana	ddrad	matz	rana_ddrad_matz	Rsph_T26064	45.91419	vcf_varsites
