sample	reads_consens	loci_assembly	clust_threshold	taxon	method
Rneo_T480	1439477	58272	83	rana	2bRAD
Rbla_D2865	765700	33702	83	rana	2bRAD
Rneo_T527	2005209	62448	83	rana	2bRAD
Rber_T1113a	1328390	54543	83	rana	2bRAD
Rchi_T2034b	595091	27676	83	rana	2bRAD
Rsph_T26064	1948191	52907	83	rana	2bRAD
Rchi_T2034a	436682	22478	83	rana	2bRAD
Rber_T1113b	1891778	57861	83	rana	2bRAD
Rbla_D2864	805219	33543	83	rana	2bRAD
Rsph_T25870	791001	42091	83	rana	2bRAD
Rber_T1114	1034829	57450	83	rana	2bRAD
Rchi_T2049	372915	21174	83	rana	2bRAD
Rneo_T480	1553015	63414	84	rana	2bRAD
Rbla_D2865	827011	36648	84	rana	2bRAD
Rneo_T527	2155310	67768	84	rana	2bRAD
Rber_T1113a	1440914	59548	84	rana	2bRAD
Rchi_T2034b	634279	29654	84	rana	2bRAD
Rsph_T26064	2093114	57177	84	rana	2bRAD
Rchi_T2034a	465601	24060	84	rana	2bRAD
Rber_T1113b	2053210	63214	84	rana	2bRAD
Rbla_D2864	871411	36502	84	rana	2bRAD
Rsph_T25870	847257	45359	84	rana	2bRAD
Rber_T1114	1114455	62457	84	rana	2bRAD
Rchi_T2049	396713	22633	84	rana	2bRAD
Rneo_T480	1553109	63414	85	rana	2bRAD
Rbla_D2865	827083	36652	85	rana	2bRAD
Rneo_T527	2155562	67769	85	rana	2bRAD
Rber_T1113a	1441013	59552	85	rana	2bRAD
Rchi_T2034b	634439	29655	85	rana	2bRAD
Rsph_T26064	2093574	57179	85	rana	2bRAD
Rchi_T2034a	465688	24061	85	rana	2bRAD
Rber_T1113b	2053317	63216	85	rana	2bRAD
Rbla_D2864	871479	36505	85	rana	2bRAD
Rsph_T25870	847390	45362	85	rana	2bRAD
Rber_T1114	1114522	62457	85	rana	2bRAD
Rchi_T2049	396797	22635	85	rana	2bRAD
Rneo_T480	1554205	63454	86	rana	2bRAD
Rbla_D2865	827564	36668	86	rana	2bRAD
Rneo_T527	2157195	67801	86	rana	2bRAD
Rber_T1113a	1442177	59585	86	rana	2bRAD
Rchi_T2034b	635003	29665	86	rana	2bRAD
Rsph_T26064	2095690	57210	86	rana	2bRAD
Rchi_T2034a	466225	24076	86	rana	2bRAD
Rber_T1113b	2054519	63256	86	rana	2bRAD
Rbla_D2864	872243	36527	86	rana	2bRAD
Rsph_T25870	847984	45382	86	rana	2bRAD
Rber_T1114	1115579	62490	86	rana	2bRAD
Rchi_T2049	397193	22647	86	rana	2bRAD
Rneo_T480	1700683	70012	87	rana	2bRAD
Rbla_D2865	911833	40441	87	rana	2bRAD
Rneo_T527	2352324	74735	87	rana	2bRAD
Rber_T1113a	1589240	65862	87	rana	2bRAD
Rchi_T2034b	683752	32219	87	rana	2bRAD
Rsph_T26064	2284313	62740	87	rana	2bRAD
Rchi_T2034a	500887	26145	87	rana	2bRAD
Rber_T1113b	2261354	69884	87	rana	2bRAD
Rbla_D2864	961180	40275	87	rana	2bRAD
Rsph_T25870	921146	49546	87	rana	2bRAD
Rber_T1114	1219639	68743	87	rana	2bRAD
Rchi_T2049	426410	24512	87	rana	2bRAD
Rneo_T480	1705028	70178	88	rana	2bRAD
Rbla_D2865	914391	40531	88	rana	2bRAD
Rneo_T527	2357929	74899	88	rana	2bRAD
Rber_T1113a	1593207	66014	88	rana	2bRAD
Rchi_T2034b	685790	32286	88	rana	2bRAD
Rsph_T26064	2288665	62867	88	rana	2bRAD
Rchi_T2034a	502297	26198	88	rana	2bRAD
Rber_T1113b	2266958	70045	88	rana	2bRAD
Rbla_D2864	963264	40365	88	rana	2bRAD
Rsph_T25870	923128	49645	88	rana	2bRAD
Rber_T1114	1222534	68885	88	rana	2bRAD
Rchi_T2049	427716	24571	88	rana	2bRAD
Rneo_T480	1863486	77384	89	rana	2bRAD
Rbla_D2865	1002416	44603	89	rana	2bRAD
Rneo_T527	2572944	82511	89	rana	2bRAD
Rber_T1113a	1754300	73142	89	rana	2bRAD
Rchi_T2034b	747176	35411	89	rana	2bRAD
Rsph_T26064	2488165	69014	89	rana	2bRAD
Rchi_T2034a	548344	28651	89	rana	2bRAD
Rber_T1113b	2489228	77517	89	rana	2bRAD
Rbla_D2864	1060293	44451	89	rana	2bRAD
Rsph_T25870	1002919	54405	89	rana	2bRAD
Rber_T1114	1336265	75931	89	rana	2bRAD
Rchi_T2049	465993	26824	89	rana	2bRAD
Rneo_T480	1863951	77394	90	rana	2bRAD
Rbla_D2865	1002777	44608	90	rana	2bRAD
Rneo_T527	2573622	82522	90	rana	2bRAD
Rber_T1113a	1754906	73153	90	rana	2bRAD
Rchi_T2034b	747401	35413	90	rana	2bRAD
Rsph_T26064	2488900	69025	90	rana	2bRAD
Rchi_T2034a	548542	28653	90	rana	2bRAD
Rber_T1113b	2490059	77528	90	rana	2bRAD
Rbla_D2864	1060647	44458	90	rana	2bRAD
Rsph_T25870	1003314	54414	90	rana	2bRAD
Rber_T1114	1336617	75943	90	rana	2bRAD
Rchi_T2049	466162	26827	90	rana	2bRAD
Rneo_T480	1907662	79114	91	rana	2bRAD
Rbla_D2865	1026955	45606	91	rana	2bRAD
Rneo_T527	2634583	84340	91	rana	2bRAD
Rber_T1113a	1798102	74791	91	rana	2bRAD
Rchi_T2034b	771031	36349	91	rana	2bRAD
Rsph_T26064	2548544	70562	91	rana	2bRAD
Rchi_T2034a	565784	29444	91	rana	2bRAD
Rber_T1113b	2551294	79263	91	rana	2bRAD
Rbla_D2864	1085644	45490	91	rana	2bRAD
Rsph_T25870	1027308	55625	91	rana	2bRAD
Rber_T1114	1369711	77678	91	rana	2bRAD
Rchi_T2049	481146	27571	91	rana	2bRAD
Rneo_T480	1976717	84131	92	rana	2bRAD
Rbla_D2865	1069247	48531	92	rana	2bRAD
Rneo_T527	2732081	89748	92	rana	2bRAD
Rber_T1113a	1868053	79739	92	rana	2bRAD
Rchi_T2034b	793916	38514	92	rana	2bRAD
Rsph_T26064	2631209	74982	92	rana	2bRAD
Rchi_T2034a	582061	31242	92	rana	2bRAD
Rber_T1113b	2650325	84584	92	rana	2bRAD
Rbla_D2864	1130728	48418	92	rana	2bRAD
Rsph_T25870	1056798	59000	92	rana	2bRAD
Rber_T1114	1420911	82677	92	rana	2bRAD
Rchi_T2049	495129	29292	92	rana	2bRAD
Rneo_T480	1980137	84406	93	rana	2bRAD
Rbla_D2865	1069599	48701	93	rana	2bRAD
Rneo_T527	2735177	90081	93	rana	2bRAD
Rber_T1113a	1869693	80053	93	rana	2bRAD
Rchi_T2034b	795955	38726	93	rana	2bRAD
Rsph_T26064	2636497	75268	93	rana	2bRAD
Rchi_T2034a	583457	31417	93	rana	2bRAD
Rber_T1113b	2653826	84894	93	rana	2bRAD
Rbla_D2864	1131543	48565	93	rana	2bRAD
Rsph_T25870	1059544	59212	93	rana	2bRAD
Rber_T1114	1421777	82946	93	rana	2bRAD
Rchi_T2049	495976	29489	93	rana	2bRAD
Rneo_T480	1988901	84812	94	rana	2bRAD
Rbla_D2865	1075193	48957	94	rana	2bRAD
Rneo_T527	2747689	90504	94	rana	2bRAD
Rber_T1113a	1877005	80446	94	rana	2bRAD
Rchi_T2034b	801258	39047	94	rana	2bRAD
Rsph_T26064	2647673	75700	94	rana	2bRAD
Rchi_T2034a	588005	31661	94	rana	2bRAD
Rber_T1113b	2663980	85311	94	rana	2bRAD
Rbla_D2864	1137009	48848	94	rana	2bRAD
Rsph_T25870	1064356	59549	94	rana	2bRAD
Rber_T1114	1426761	83301	94	rana	2bRAD
Rchi_T2049	500152	29766	94	rana	2bRAD
Rneo_T480	1825133	84136	95	rana	2bRAD
Rbla_D2865	985355	48693	95	rana	2bRAD
Rneo_T527	2524327	90022	95	rana	2bRAD
Rber_T1113a	1727023	79974	95	rana	2bRAD
Rchi_T2034b	720426	39287	95	rana	2bRAD
Rsph_T26064	2419496	75709	95	rana	2bRAD
Rchi_T2034a	530146	31703	95	rana	2bRAD
Rber_T1113b	2454545	84952	95	rana	2bRAD
Rbla_D2864	1040108	48606	95	rana	2bRAD
Rsph_T25870	974582	59372	95	rana	2bRAD
Rber_T1114	1308769	82629	95	rana	2bRAD
Rchi_T2049	449315	29820	95	rana	2bRAD
