taxon	sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
rana	rana.fq_TCAG	1818833	673593	646955	615310	576427	522669	495342	444566	405087	357713	325715	287219	254183	217599	188857	160904	140483	112441	102377	82973	71277	60732	50389	42359	35205	29311	26724	20909	20177	18476	16001	13561	13466	12086	10834	10563	9800	8194	9534	8498	7778	7181	7277	7007	7167	6477	5653	5858	4897	5206	5112	4537	4448	4844	3510	3966	3453	3459	3564	3266	3361	3321	3042	3041	2653	2939	2427	2959	2716	2516	2382	2425	2395	2262	1832	2303	2282	1798	1663	1640	1802	1489	1857	2137	1879	1736	1622	1554	1571	1382	1463	1711	1395	1180	1125	1240	1329	1382	984	999	84468
rana	rana.fq_TGTC	5346690	784408	609308	472174	365396	290384	227125	175724	138242	106553	86292	66400	51406	42446	34961	29212	26062	19633	17986	15677	12384	12483	11301	10081	9268	8431	7936	6995	7472	6482	5521	5394	5265	4288	4198	4897	4374	4498	3693	3638	3606	3189	3521	3337	2644	3372	2752	2859	2970	2435	2392	2024	2224	2193	1912	2061	2065	1739	1915	1792	1822	1505	1307	2123	1816	1606	1608	1287	1362	1123	1436	1267	1199	1143	1221	1192	1206	1159	828	1043	825	982	1037	664	890	875	613	733	814	883	872	746	797	1043	561	639	640	427	753	712	47825
epi	epi.fq_ACCA	791258	178616	167460	164336	147678	138977	130825	124461	117315	111406	96972	92452	85779	79639	69117	61903	58009	51287	46210	41066	38188	33576	29149	29246	23763	20142	17842	15181	13861	11375	10904	9251	8883	7668	7032	6140	6446	5146	4679	4338	2990	3518	3410	3554	3471	2901	2169	2532	2661	2996	2359	2382	2288	2296	2096	2195	2358	1759	2113	2080	1952	1865	2201	1963	1499	1908	1343	1686	1645	1328	1424	1563	1484	1333	1171	1244	1144	983	1259	1039	1150	1197	997	961	1323	1061	856	1085	1189	710	893	888	847	785	814	760	682	808	429	730	79865
epi	epi.fq_AGAC	893592	196687	172329	156361	147622	137102	132187	126067	116263	104985	98930	89162	82225	76022	68609	58904	53382	48489	42596	37299	32160	28819	25800	20265	17592	14794	13054	10967	9671	7589	8018	6775	6462	5104	5262	4740	4389	3600	3724	4022	3313	3147	3266	2981	2627	2337	2635	2500	2629	2150	2101	2393	2368	2419	1915	2154	1644	1738	1528	1658	1741	1873	1528	1300	1512	1636	1407	1542	1446	1489	1118	1383	1414	1377	943	1130	1036	996	1194	1101	1204	1344	1005	882	1004	776	973	510	945	843	852	1019	991	799	830	1058	923	839	824	704	73154
epi	epi.fq_AGTG	812027	140909	147711	152525	152650	147574	145162	138823	133175	123362	115016	107892	97481	90151	81708	69740	62854	53232	45941	39727	34727	27706	21747	18657	14713	12968	10405	9330	7436	6900	6105	6311	5413	5138	4493	4603	4444	3925	4129	3479	3582	3119	3724	3009	3034	2808	2396	2164	2262	2547	1950	1779	1771	2493	1892	1925	2197	2116	1868	1827	1588	1814	1777	1966	1657	1553	1213	1333	1419	1082	1208	1461	1348	1107	938	1168	994	1266	1044	1436	1420	1012	1066	1033	884	1073	914	967	940	992	856	1041	978	634	776	902	908	877	593	851	72927
epi	epi.fq_CATC	729658	60211	68561	85189	91292	100114	107223	108950	108612	106345	109589	109232	102513	101148	96060	91591	81190	76679	71749	67943	61699	56086	49605	46083	40829	38673	33128	28570	25563	22056	21953	16771	14197	13207	12238	10400	9235	8227	6525	6218	6196	5051	5604	5274	3762	3952	3903	3601	3563	3615	2636	3007	3145	2553	2958	2940	2702	2288	2609	1960	2202	2514	2371	2115	2197	1986	2088	2147	2137	1895	1858	1763	1717	1751	1791	1588	1392	1552	1525	1285	1406	1680	1618	1849	1683	1312	1323	1270	1817	1312	1271	801	853	906	689	895	981	914	970	1037	108876
epi	epi.fq_CTAC	1526198	141627	107108	92919	84844	78277	72669	65315	62144	58362	57660	53407	49314	44842	43314	41832	38186	35690	35248	35581	29104	28835	25148	24442	21328	20368	17364	16148	14925	14547	13966	12579	11536	10806	10044	7910	7485	7243	6685	5984	4790	5171	4870	4028	3933	3827	3650	3194	3890	2347	2392	2436	2551	2155	2647	1970	1793	2138	2067	1866	1657	1550	1587	1777	1876	1398	1461	1909	1450	1348	1273	1067	1296	1258	1219	1206	1244	1144	1455	1203	1281	1396	1106	918	1294	1342	1075	1217	1138	1482	862	971	722	1071	1021	723	972	679	773	915	95733
epi	epi.fq_GACT	2356326	88638	48369	41064	37472	35186	31241	30160	28167	28042	26406	23887	22401	21963	21079	20872	20243	19221	18251	16939	15467	14220	14389	12499	10804	11887	9986	10394	10719	9128	8731	7325	6822	7050	6853	5504	5246	4634	4194	4166	4218	3064	2969	3092	2645	2931	2601	2044	2132	1761	1935	1753	1287	1425	1609	1162	1350	964	1089	948	920	805	765	1164	756	884	638	877	1065	773	603	597	672	617	717	571	521	553	659	656	553	542	661	523	556	615	496	433	700	526	487	473	354	562	489	325	391	496	489	430	55930
epi	epi.fq_GCTT	2487702	100050	64943	50999	42109	34171	29753	24641	22899	21106	19509	16399	16425	13421	13003	11075	10844	10849	9167	7919	8330	7985	7721	7190	6876	5500	5857	4868	4758	4227	4165	3565	3598	3480	3864	3530	3271	2975	2430	2531	2503	2341	2587	1925	1892	1755	1906	2025	1675	1361	1551	1569	1271	1208	1365	1110	1161	1248	1524	1323	1194	1078	1084	1161	1134	1186	749	839	866	1024	1029	887	1032	1037	746	792	985	750	661	1053	685	736	670	575	528	544	837	722	672	848	515	470	718	769	772	606	748	690	550	501	68320
epi	epi.fq_GTGA	2302229	137830	45214	30233	29191	24126	25594	24886	25280	25391	25149	23854	22201	22602	22033	23396	20508	19970	19093	18232	18392	15235	15127	13286	12302	11179	8653	8249	6763	6067	5704	5624	4704	3784	3757	3716	3411	3101	2675	2888	2609	2636	2037	2091	2325	1832	1723	2062	2222	1717	2008	1994	2028	1681	1566	1672	1737	1840	1348	1323	1610	1341	1662	1570	1496	1707	1201	980	1152	1159	1388	1103	1063	1459	1247	896	1197	1345	1327	1121	869	943	1144	1188	1108	1100	960	831	1030	956	1023	1002	865	843	721	680	737	846	604	638	113576
epi	epi.fq_GTGT	444528	357970	165168	144490	139757	134618	129790	123403	114586	112698	106965	97382	88222	85727	77681	73989	69500	63835	55528	49029	45525	43501	37439	31862	31982	27201	25243	20657	18726	17124	15305	13054	12150	9869	8550	8118	6851	6154	5836	4896	5339	4549	3817	4223	3900	3529	3489	3796	2912	3152	2912	2952	2872	2492	1988	2329	2159	2596	2102	2333	2364	1712	2094	1568	1695	2184	1988	2096	2080	1902	1606	1728	1579	1425	1655	1193	1441	1458	1264	1407	1162	986	1260	1007	997	1164	1128	1326	1356	1017	1118	984	1128	994	1077	1143	1456	1443	1008	1035	92190
epi	epi.fq_TCAC	2250750	230597	66661	48237	38399	34875	31698	30763	27623	28383	26882	23006	26308	23077	20475	19670	18342	16728	16659	15252	16344	13189	12187	10803	11347	9845	9143	7886	8207	6828	6195	5549	5540	4981	4215	3504	3146	3140	2810	2346	2295	2390	1733	1683	1820	1588	1458	1175	1282	1247	1356	1366	973	813	1166	812	939	1169	762	862	911	936	762	772	490	724	502	675	688	541	699	591	673	684	462	573	515	775	608	523	499	489	637	540	471	445	421	570	282	198	422	338	368	478	494	413	498	357	271	407	47587
epi	epi.fq_TCAG	2435441	98767	51872	44235	39592	36343	33681	30723	27871	27662	25257	22756	21887	19568	18139	16116	15359	13231	11695	11669	9018	8496	6911	6672	6043	4978	4227	4183	3956	3855	3436	2415	2747	3094	2985	2721	2272	2377	2616	2181	2676	2151	2054	1804	1829	1663	1832	1729	1472	1704	1774	1550	1525	1471	1600	1791	1293	1732	1480	1366	1415	1179	995	1132	1061	1263	1363	1358	1007	1388	1219	921	838	1392	1305	1081	935	949	721	827	1158	1086	954	826	887	759	730	755	732	826	843	731	976	692	646	732	795	812	525	520	77891
epi	epi.fq_TGTC	1448150	144943	116888	99186	85603	82922	74998	71632	68477	60073	59868	55930	52025	48323	44323	43405	41272	37456	36111	31792	29111	28215	26241	25289	22785	22016	20245	19248	18096	16095	14769	13578	11535	11141	11020	8543	9062	7948	7416	6641	5814	5107	4679	4261	3700	3757	3427	2952	3691	3004	2754	2480	2372	2895	2404	1817	2100	2363	1989	1858	1824	1792	1849	1303	1333	1569	1760	1603	1488	1237	1542	1619	1629	1452	1072	1171	1293	949	1404	1071	1318	1180	1106	1090	991	1096	894	947	1055	862	982	853	1002	788	791	735	901	746	928	924	93824
