,Unnamed: 0,number,variable,sum_var,pis,sum_pis,clust_threshold
24,24,24,634,263065,246,209082,../epiddrad/clust_87_outfiles/clust_87_stats.txt
25,25,25,594,277915,217,214507,../epiddrad/clust_87_outfiles/clust_87_stats.txt
26,26,26,493,290733,142,218199,../epiddrad/clust_87_outfiles/clust_87_stats.txt
27,27,27,426,302235,139,221952,../epiddrad/clust_87_outfiles/clust_87_stats.txt
28,28,28,375,312735,102,224808,../epiddrad/clust_87_outfiles/clust_87_stats.txt
29,29,29,311,321754,96,227592,../epiddrad/clust_87_outfiles/clust_87_stats.txt
30,30,30,292,330514,62,229452,../epiddrad/clust_87_outfiles/clust_87_stats.txt
31,31,31,227,337551,38,230630,../epiddrad/clust_87_outfiles/clust_87_stats.txt
32,32,32,197,343855,36,231782,../epiddrad/clust_87_outfiles/clust_87_stats.txt
33,33,33,146,348673,22,232508,../epiddrad/clust_87_outfiles/clust_87_stats.txt
34,34,34,124,352889,21,233222,../epiddrad/clust_87_outfiles/clust_87_stats.txt
35,35,35,80,355689,7,233467,../epiddrad/clust_87_outfiles/clust_87_stats.txt
36,36,36,98,359217,7,233719,../epiddrad/clust_87_outfiles/clust_87_stats.txt
37,37,37,38,360623,2,233793,../epiddrad/clust_87_outfiles/clust_87_stats.txt
38,38,38,30,361763,2,233869,../epiddrad/clust_87_outfiles/clust_87_stats.txt
39,39,39,21,362582,0,233869,../epiddrad/clust_87_outfiles/clust_87_stats.txt
40,40,40,10,362982,1,233909,../epiddrad/clust_87_outfiles/clust_87_stats.txt
0,0,0,0,0,27,0,../epiddrad/clust_89_outfiles/clust_89_stats.txt
1,1,1,3,3,17,17,../epiddrad/clust_89_outfiles/clust_89_stats.txt
2,2,2,2,7,27,71,../epiddrad/clust_89_outfiles/clust_89_stats.txt
3,3,3,3,16,20,131,../epiddrad/clust_89_outfiles/clust_89_stats.txt
4,4,4,1,20,23,223,../epiddrad/clust_89_outfiles/clust_89_stats.txt
5,5,5,5,45,24,343,../epiddrad/clust_89_outfiles/clust_89_stats.txt
6,6,6,4,69,21,469,../epiddrad/clust_89_outfiles/clust_89_stats.txt
7,7,7,7,118,38,735,../epiddrad/clust_89_outfiles/clust_89_stats.txt
8,8,8,41,446,334,3407,../epiddrad/clust_89_outfiles/clust_89_stats.txt
9,9,9,95,1301,369,6728,../epiddrad/clust_89_outfiles/clust_89_stats.txt
10,10,10,96,2261,399,10718,../epiddrad/clust_89_outfiles/clust_89_stats.txt
11,11,11,141,3812,382,14920,../epiddrad/clust_89_outfiles/clust_89_stats.txt
12,12,12,167,5816,397,19684,../epiddrad/clust_89_outfiles/clust_89_stats.txt
13,13,13,211,8559,388,24728,../epiddrad/clust_89_outfiles/clust_89_stats.txt
14,14,14,231,11793,438,30860,../epiddrad/clust_89_outfiles/clust_89_stats.txt
15,15,15,326,16683,458,37730,../epiddrad/clust_89_outfiles/clust_89_stats.txt
16,16,16,305,21563,402,44162,../epiddrad/clust_89_outfiles/clust_89_stats.txt
17,17,17,361,27700,446,51744,../epiddrad/clust_89_outfiles/clust_89_stats.txt
18,18,18,393,34774,353,58098,../epiddrad/clust_89_outfiles/clust_89_stats.txt
19,19,19,441,43153,360,64938,../epiddrad/clust_89_outfiles/clust_89_stats.txt
20,20,20,462,52393,313,71198,../epiddrad/clust_89_outfiles/clust_89_stats.txt
21,21,21,425,61318,285,77183,../epiddrad/clust_89_outfiles/clust_89_stats.txt
22,22,22,383,69744,240,82463,../epiddrad/clust_89_outfiles/clust_89_stats.txt
23,23,23,412,79220,173,86442,../epiddrad/clust_89_outfiles/clust_89_stats.txt
24,24,24,346,87524,160,90282,../epiddrad/clust_89_outfiles/clust_89_stats.txt
25,25,25,304,95124,127,93457,../epiddrad/clust_89_outfiles/clust_89_stats.txt
26,26,26,267,102066,82,95589,../epiddrad/clust_89_outfiles/clust_89_stats.txt
27,27,27,270,109356,78,97695,../epiddrad/clust_89_outfiles/clust_89_stats.txt
28,28,28,183,114480,55,99235,../epiddrad/clust_89_outfiles/clust_89_stats.txt
29,29,29,171,119439,39,100366,../epiddrad/clust_89_outfiles/clust_89_stats.txt
30,30,30,117,122949,27,101176,../epiddrad/clust_89_outfiles/clust_89_stats.txt
31,31,31,94,125863,14,101610,../epiddrad/clust_89_outfiles/clust_89_stats.txt
32,32,32,94,128871,17,102154,../epiddrad/clust_89_outfiles/clust_89_stats.txt
33,33,33,49,130488,6,102352,../epiddrad/clust_89_outfiles/clust_89_stats.txt
34,34,34,42,131916,7,102590,../epiddrad/clust_89_outfiles/clust_89_stats.txt
35,35,35,39,133281,2,102660,../epiddrad/clust_89_outfiles/clust_89_stats.txt
36,36,36,18,133929,2,102732,../epiddrad/clust_89_outfiles/clust_89_stats.txt
37,37,37,21,134706,1,102769,../epiddrad/clust_89_outfiles/clust_89_stats.txt
38,38,38,14,135238,0,102769,../epiddrad/clust_89_outfiles/clust_89_stats.txt
39,39,39,4,135394,0,102769,../epiddrad/clust_89_outfiles/clust_89_stats.txt
40,40,40,3,135514,0,102769,../epiddrad/clust_89_outfiles/clust_89_stats.txt
0,0,0,0,0,29,0,../epiddrad/clust_90_outfiles/clust_90_stats.txt
1,1,1,4,4,14,14,../epiddrad/clust_90_outfiles/clust_90_stats.txt
2,2,2,2,8,29,72,../epiddrad/clust_90_outfiles/clust_90_stats.txt
3,3,3,2,14,19,129,../epiddrad/clust_90_outfiles/clust_90_stats.txt
4,4,4,1,18,20,209,../epiddrad/clust_90_outfiles/clust_90_stats.txt
5,5,5,5,43,24,329,../epiddrad/clust_90_outfiles/clust_90_stats.txt
6,6,6,6,79,22,461,../epiddrad/clust_90_outfiles/clust_90_stats.txt
7,7,7,9,142,35,706,../epiddrad/clust_90_outfiles/clust_90_stats.txt
8,8,8,42,478,354,3538,../epiddrad/clust_90_outfiles/clust_90_stats.txt
9,9,9,95,1333,393,7075,../epiddrad/clust_90_outfiles/clust_90_stats.txt
10,10,10,100,2333,419,11265,../epiddrad/clust_90_outfiles/clust_90_stats.txt
11,11,11,147,3950,388,15533,../epiddrad/clust_90_outfiles/clust_90_stats.txt
12,12,12,171,6002,435,20753,../epiddrad/clust_90_outfiles/clust_90_stats.txt
13,13,13,225,8927,398,25927,../epiddrad/clust_90_outfiles/clust_90_stats.txt
14,14,14,241,12301,442,32115,../epiddrad/clust_90_outfiles/clust_90_stats.txt
15,15,15,338,17371,485,39390,../epiddrad/clust_90_outfiles/clust_90_stats.txt
16,16,16,325,22571,428,46238,../epiddrad/clust_90_outfiles/clust_90_stats.txt
17,17,17,372,28895,472,54262,../epiddrad/clust_90_outfiles/clust_90_stats.txt
18,18,18,422,36491,364,60814,../epiddrad/clust_90_outfiles/clust_90_stats.txt
19,19,19,471,45440,384,68110,../epiddrad/clust_90_outfiles/clust_90_stats.txt
20,20,20,492,55280,346,75030,../epiddrad/clust_90_outfiles/clust_90_stats.txt
21,21,21,438,64478,302,81372,../epiddrad/clust_90_outfiles/clust_90_stats.txt
22,22,22,414,73586,227,86366,../epiddrad/clust_90_outfiles/clust_90_stats.txt
23,23,23,408,82970,175,90391,../epiddrad/clust_90_outfiles/clust_90_stats.txt
24,24,24,384,92186,172,94519,../epiddrad/clust_90_outfiles/clust_90_stats.txt
25,25,25,305,99811,132,97819,../epiddrad/clust_90_outfiles/clust_90_stats.txt
26,26,26,275,106961,80,99899,../epiddrad/clust_90_outfiles/clust_90_stats.txt
27,27,27,273,114332,77,101978,../epiddrad/clust_90_outfiles/clust_90_stats.txt
28,28,28,200,119932,56,103546,../epiddrad/clust_90_outfiles/clust_90_stats.txt
29,29,29,173,124949,40,104706,../epiddrad/clust_90_outfiles/clust_90_stats.txt
30,30,30,125,128699,19,105276,../epiddrad/clust_90_outfiles/clust_90_stats.txt
31,31,31,87,131396,17,105803,../epiddrad/clust_90_outfiles/clust_90_stats.txt
32,32,32,95,134436,11,106155,../epiddrad/clust_90_outfiles/clust_90_stats.txt
33,33,33,45,135921,4,106287,../epiddrad/clust_90_outfiles/clust_90_stats.txt
34,34,34,42,137349,2,106355,../epiddrad/clust_90_outfiles/clust_90_stats.txt
35,35,35,36,138609,0,106355,../epiddrad/clust_90_outfiles/clust_90_stats.txt
36,36,36,15,139149,0,106355,../epiddrad/clust_90_outfiles/clust_90_stats.txt
37,37,37,11,139556,0,106355,../epiddrad/clust_90_outfiles/clust_90_stats.txt
38,38,38,12,140012,0,106355,../epiddrad/clust_90_outfiles/clust_90_stats.txt
39,39,39,4,140168,0,106355,../epiddrad/clust_90_outfiles/clust_90_stats.txt
40,40,40,2,140248,0,106355,../epiddrad/clust_90_outfiles/clust_90_stats.txt
